,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
20,21,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20-305,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
21,22,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22-258,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0
22,23,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22-275,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,4,2,2,2,0,3,5,60.0,2,3,0,3,2,6,0,0
23,24,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-145,2000,5,1,128,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,6,3,15,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,4,2,0,1,3,1,2,50.0,1,2,0,2,0,4,2,0
24,25,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-065,2000,4,0,67,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,1,0.00,1.34,1.34,0.00,1.34,0.00,0.24,0.24,0.00,0.24,2,2,2,0,0,0,1,0.0,1,0,0,0,2,4,1,0
25,26,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-193,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
26,27,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27-270,1997,6,4,333,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,18,8,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.11,0.04,0.11,7,4,1,4,2,4,8,50.0,4,3,1,2,4,11,1,0
27,28,Oladapo Afolayan,eng ENG,FW,St. Pauli,de Bundesliga,26-233,1998,5,2,278,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.0,8,6,21,0.32,0.00,0.32,0.32,0.32,0.22,0.12,0.34,0.22,0.34,4,2,1,2,1,1,2,50.0,1,2,0,2,2,6,3,0
28,29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-107,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,4,26,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,18,11,14,2,2,13,17,76.5,4,14,10,4,8,26,31,1
29,30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23-281,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
